Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating,Visibility Category
Low Fat,FDH19,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.033,12.35,173.17,5.0,Low Visibility
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.019,20.25,222.18,5.0,Low Visibility
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147,17.85,93.74,5.0,High Visibility
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.078,19.2,197.61,5.0,High Visibility
Low Fat,FDJ56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.183,13.1,98.77,5.0,High Visibility
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017,12.1,178.57,5.0,Low Visibility
Regular,FDZ07,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0,13.1,60.22,5.0,Low Visibility
Low Fat,NCK31,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.027,14.5,50.97,5.0,Low Visibility
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.023,6.85,261.66,5.0,Low Visibility
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042,17.25,173.18,5.0,Low Visibility
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065,16.0,76.2,5.0,High Visibility
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.14,13.35,150.24,5.0,High Visibility
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.034,6.695,221.95,5.0,Low Visibility
Regular,FDO19,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.017,13.1,47.4,5.0,Low Visibility
Low Fat,FDO04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.027,16.6,57.26,5.0,Low Visibility
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131,6.92,93.18,5.0,High Visibility
Low Fat,NCJ30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.081,5.82,167.78,5.0,High Visibility
Low Fat,NCQ41,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.019,14.8,196.38,5.0,Low Visibility
Low Fat,DRJ35,Hard Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.047,10.1,59.99,5.0,Low Visibility
Low Fat,NCE31,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.185,7.67,35.42,5.0,High Visibility
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025,15.6,174.31,5.0,Low Visibility
Low Fat,FDZ04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.038,9.31,61.65,5.0,Low Visibility
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.122,11.8,46.84,5.0,High Visibility
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038,13.15,88.69,5.0,Low Visibility
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057,16.25,126.2,5.0,High Visibility
Regular,FDP51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.085,13.85,119.61,5.0,High Visibility
Regular,FDT50,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.108,6.75,95.68,5.0,High Visibility
Regular,FDQ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.019,13.1,62.95,5.0,Low Visibility
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048,10.5,159.09,5.0,Low Visibility
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.175,9.3,104.3,5.0,High Visibility
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.106,20.75,150.57,5.0,High Visibility
Low Fat,NCJ31,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.183,19.2,239.22,5.0,High Visibility
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049,18.1,127.33,5.0,Low Visibility
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014,17.5,256.33,5.0,Low Visibility
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011,10.5,235.52,5.0,Low Visibility
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015,7.975,82.42,5.0,Low Visibility
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026,10.0,264.62,5.0,Low Visibility
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024,10.1,114.92,5.0,Low Visibility
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028,8.93,152.23,5.0,Low Visibility
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086,7.3,147.21,5.0,High Visibility
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.006,7.93,122.14,5.0,Low Visibility
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014,15.35,62.72,5.0,Low Visibility
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.017,19.35,120.91,5.0,Low Visibility
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031,9.5,111.12,5.0,Low Visibility
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041,10.5,39.22,5.0,Low Visibility
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,15.6,111.95,5.0,Low Visibility
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.004,5.88,153.9,5.0,Low Visibility
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.087,8.88,153.37,5.0,High Visibility
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035,10.6,84.72,5.0,Low Visibility
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028,6.13,110.09,5.0,Low Visibility
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015,6.38,144.95,5.0,Low Visibility
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048,9.195,107.76,5.0,Low Visibility
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048,11.3,180.77,5.0,Low Visibility
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007,12.6,186.96,5.0,Low Visibility
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114,17.25,253.47,5.0,High Visibility
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067,19.1,41.98,5.0,High Visibility
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027,9.8,126.3,5.0,Low Visibility
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,7.905,249.64,5.0,Low Visibility
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.029,10.8,239.22,5.0,Low Visibility
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.021,12.1,147.57,5.0,Low Visibility
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.076,15.5,261.76,5.0,High Visibility
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079,20.7,99.8,5.0,High Visibility
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,8.0,247.41,5.0,Low Visibility
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031,19.5,85.55,5.0,Low Visibility
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,14.0,145.48,5.0,Low Visibility
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,20.25,194.28,5.0,Low Visibility
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067,11.3,257.3,5.0,High Visibility
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077,11.6,172.41,5.0,High Visibility
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.099,16.0,87.09,5.0,High Visibility
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012,10.195,197.11,5.0,Low Visibility
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027,13.65,37.95,5.0,Low Visibility
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027,9.6,259.23,5.0,Low Visibility
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011,10.695,73.5,5.0,Low Visibility
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058,12.3,59.16,5.0,High Visibility
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01,11.395,50.3,5.0,Low Visibility
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.186,12.35,78.23,5.0,High Visibility
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114,20.7,94.94,5.0,High Visibility
Low Fat,NCQ38,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.023,14.5,108.23,5.0,Low Visibility
Low Fat,FDK02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.196,12.15,120.54,5.0,High Visibility
Low Fat,FDI15,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.247,13.35,263.19,5.0,High Visibility
Low Fat,FDE09,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.038,13.1,109.72,5.0,Low Visibility
Low Fat,FDS55,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.142,13.1,150.37,5.0,High Visibility
Low Fat,FDZ56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.045,13.1,167.55,5.0,Low Visibility
Low Fat,NCA05,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.044,12.15,148.27,5.0,Low Visibility
Low Fat,NCK29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.0,12.15,123.47,5.0,Low Visibility
Low Fat,NCU29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.045,12.15,145.98,5.0,Low Visibility
Low Fat,NCX41,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.031,12.15,210.52,5.0,Low Visibility
Low Fat,NCG07,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.092,13.15,189.75,5.0,High Visibility
Low Fat,NCI30,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.103,13.15,244.35,5.0,High Visibility
Low Fat,NCR54,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.159,13.15,194.71,5.0,High Visibility
Low Fat,NCT06,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.068,13.15,167.78,5.0,High Visibility
Low Fat,FDN15,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.029,12.35,140.32,5.0,Low Visibility
Low Fat,FDJ45,Seafood,1998,OUT019,Tier 1,Small,Grocery Store,0.129,11.65,34.22,5.0,High Visibility
Regular,FDL13,Breakfast,1998,OUT019,Tier 1,Small,Grocery Store,0.099,10.695,232.73,5.0,High Visibility
Regular,FDL02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.182,12.15,107.16,5.0,High Visibility
Regular,FDF56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.209,13.1,179.2,5.0,High Visibility
Regular,FDQ27,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.077,12.35,101.4,5.0,High Visibility
Regular,FDG35,Starchy Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.012,13.175,173.87,5.0,Low Visibility
Regular,FDD38,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.014,12.15,103.77,5.0,Low Visibility
Regular,FDE41,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.0,12.85,83.76,5.0,Low Visibility
Low Fat,FDP24,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.083,20.6,119.48,5.0,High Visibility
Low Fat,FDH38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.01,6.425,115.88,5.0,Low Visibility
Low Fat,FDT49,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.151,7.0,107.73,5.0,High Visibility
Low Fat,FDN02,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.074,16.5,208.86,5.0,High Visibility
Low Fat,DRF27,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.028,8.93,154.53,5.0,Low Visibility
Low Fat,FDT02,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.024,12.6,36.19,5.0,Low Visibility
Low Fat,FDF05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.027,17.5,264.49,5.0,Low Visibility
Low Fat,FDI45,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.038,13.1,175.51,5.0,Low Visibility
Low Fat,FDZ20,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.034,16.1,252.34,5.0,Low Visibility
Low Fat,NCC42,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.045,15.0,140.28,5.0,Low Visibility
Low Fat,NCQ53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.019,17.6,234.66,5.0,Low Visibility
Low Fat,NCR54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.091,16.35,198.21,5.0,High Visibility
Low Fat,NCX06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.016,17.6,182.7,5.0,Low Visibility
Low Fat,NCO06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.108,19.25,32.46,5.0,High Visibility
Low Fat,NCN54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021,20.35,76.13,5.0,Low Visibility
Low Fat,FDL27,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.011,6.17,65.98,5.0,Low Visibility
Low Fat,FDV51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.033,16.35,165.78,5.0,Low Visibility
Low Fat,FDC46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.117,17.7,182.63,5.0,High Visibility
Low Fat,FDZ58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.052,17.85,122.81,5.0,Low Visibility
Low Fat,FDN21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.077,18.6,161.02,5.0,High Visibility
Low Fat,FDO58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.04,19.6,166.15,5.0,Low Visibility
Low Fat,DRD24,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.031,13.85,143.32,5.0,Low Visibility
Low Fat,DRI37,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.108,15.85,58.79,5.0,High Visibility
Regular,FDI12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.1,9.395,89.69,5.0,High Visibility
Regular,FDP12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.045,9.8,36.99,5.0,Low Visibility
Regular,FDO01,Breakfast,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021,21.1,130.5,5.0,Low Visibility
Regular,FDZ37,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.02,8.1,88.62,5.0,Low Visibility
Regular,FDJ15,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.023,11.35,182.56,5.0,Low Visibility
Regular,FDM04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.047,9.195,53.17,5.0,Low Visibility
Regular,FDI40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.126,11.5,100.84,5.0,High Visibility
Regular,FDX04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.042,19.6,49.94,5.0,Low Visibility
Regular,FDS15,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.078,9.195,106.36,5.0,High Visibility
Regular,FDJ57,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.022,7.42,184.66,5.0,Low Visibility
Regular,FDG21,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.146,17.35,150.4,5.0,High Visibility
Regular,FDW21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.006,5.34,99.54,5.0,Low Visibility
Regular,FDX10,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.124,6.385,37.19,5.0,High Visibility
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0,17.25,171.58,5.0,Low Visibility
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,12.15,39.15,5.0,Low Visibility
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.074,15.35,91.91,5.0,High Visibility
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076,12.0,124.64,5.0,High Visibility
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.113,14.1,56.2,5.0,High Visibility
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021,8.06,232.03,5.0,Low Visibility
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09,14.1,140.25,5.0,High Visibility
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124,19.2,89.75,5.0,High Visibility
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058,13.8,247.48,5.0,High Visibility
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.116,9.065,96.01,5.0,High Visibility
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.128,14.3,83.62,5.0,High Visibility
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.044,5.98,146.14,5.0,Low Visibility
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041,10.5,36.82,5.0,Low Visibility
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038,13.1,175.81,5.0,Low Visibility
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072,14.7,48.6,5.0,High Visibility
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.016,17.5,184.83,5.0,Low Visibility
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.097,19.1,233.9,5.0,High Visibility
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.046,19.85,125.6,5.0,Low Visibility
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024,9.8,116.45,5.0,Low Visibility
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.042,10.8,190.02,5.0,Low Visibility
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.059,11.8,79.16,5.0,High Visibility
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.025,5.88,148.44,5.0,Low Visibility
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105,6.775,84.62,5.0,High Visibility
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.071,8.42,216.42,5.0,High Visibility
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021,10.0,251.68,5.0,Low Visibility
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.178,19.1,173.94,5.0,High Visibility
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.014,19.75,104.23,5.0,Low Visibility
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033,12.85,172.44,5.0,Low Visibility
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041,16.0,142.65,5.0,Low Visibility
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,5.0,189.85,5.0,Low Visibility
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.052,5.73,188.19,5.0,Low Visibility
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.068,7.81,246.05,5.0,High Visibility
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081,14.35,79.2,5.0,High Visibility
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125,6.465,266.89,5.0,High Visibility
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137,15.85,94.41,5.0,High Visibility
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005,19.85,264.59,5.0,Low Visibility
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.033,7.5,239.69,5.0,Low Visibility
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.022,12.3,191.22,5.0,Low Visibility
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04,18.6,243.68,5.0,Low Visibility
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052,7.72,79.2,5.0,Low Visibility
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.047,8.185,49.97,5.0,Low Visibility
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021,16.35,50.83,5.0,Low Visibility
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041,9.5,223.51,5.0,Low Visibility
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.017,12.1,178.37,5.0,Low Visibility
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137,16.6,173.34,5.0,High Visibility
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.031,5.175,33.59,5.0,Low Visibility
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048,5.4,163.05,5.0,Low Visibility
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,11.395,149.27,5.0,Low Visibility
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052,18.75,108.13,5.0,Low Visibility
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006,6.36,163.05,5.0,Low Visibility
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.06,14.6,179.7,5.0,High Visibility
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059,20.25,246.45,5.0,High Visibility
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027,20.7,73.94,5.0,Low Visibility
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033,19.35,173.87,5.0,Low Visibility
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01,21.25,183.16,5.0,Low Visibility
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012,13.1,190.25,5.0,Low Visibility
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.112,17.75,108.89,5.0,High Visibility
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092,15.2,227.24,5.0,High Visibility
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.013,18.2,139.82,5.0,Low Visibility
